text,id,primary_topic,secondary_topic,doc_id,processed_text,topic,Topic_Label
learning data analysis including predictive machine machine modeling including modeling algorithms accuracy algorithms concerning algorithms prediction prediction accuracy with,doc_265,Data Science,Financial Technology,doc_264,learn datum analysis include predictive machine machine modeling include modeling algorithm accuracy algorithm concern algorithm prediction prediction accuracy,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
computation spark in terms of pipelines data big pipelines concerning computation spark hadoop spark regarding streaming,doc_266,Data Science,None,doc_265,computation spark term pipeline data big pipeline concern computation spark hadoop spark streaming,Topic_2,"Datum & Computation (big, spark)"
effectiveness diagnosis about treatment prediction data patient regarding medical,doc_267,Healthcare Analytics,AI Technology,doc_266,effectiveness diagnosis treatment prediction datum patient medical,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
transactions transactions with smart distributed distributed ledger specifically contracts ledger smart smart with distributed blockchain,doc_268,Financial Technology,None,doc_267,transaction transaction smart distribute distribute ledger specifically contract ledger smart smart distribute blockchain,Topic_4,"Transaction & Distribute (smart, blockchain)"
contracts blockchain about blockchain smart transactions distributed and cryptocurrency transactions transactions distributed,doc_269,Financial Technology,None,doc_268,contract blockchain blockchain smart transaction distribute cryptocurrency transaction transaction distribute,Topic_4,"Transaction & Distribute (smart, blockchain)"
models models regarding generation generation optimization wind including efficiency models optimization hydroelectric specifically models generation forecasting renewable about energy,doc_270,Sustainable Energy,AI Technology,doc_269,model model generation generation optimization wind include efficiency model optimization hydroelectric specifically model generation forecasting renewable energy,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
technology technology for batteries innovation efficiency storage in terms of technology capacity efficiency energy including efficiency batteries energy,doc_271,Sustainable Energy,None,doc_270,technology technology battery innovation efficiency storage term technology capacity efficiency energy include efficiency battery energy,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
data analysis including financial analysis financial fraud with analysis detection analysis fraud for fraud fraud fraud fraud,doc_272,Financial Technology,None,doc_271,datum analysis include financial analysis financial fraud analysis detection analysis fraud fraud fraud fraud fraud,Topic_13,"Financial & Fraud & Detection (financial, datum)"
patient data clinical specifically patient patient data support patient specifically patient,doc_273,Healthcare Analytics,Data Science,doc_272,patient datum clinical specifically patient patient datum support patient specifically patient,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
analysis models for analysis market prediction risk related to algorithmic,doc_274,Financial Technology,None,doc_273,analysis model analysis market prediction risk relate algorithmic,Topic_10,"Financial & Analysis & Prediction (market, financial)"
technology technology including digital banking innovation payments for blockchain fintech innovation digital and payments innovation,doc_275,Financial Technology,None,doc_274,technology technology include digital banking innovation payment blockchain fintech innovation digital payment innovation,Topic_5,"Financial & Fintech & Technology (digital, banking)"
transactions cryptocurrency in terms of smart transactions data analysis models concerning distributed contracts prediction,doc_276,Financial Technology,Data Science,doc_275,transaction cryptocurrency term smart transaction datum analysis model concern distribute contract prediction,Topic_4,"Transaction & Distribute (smart, blockchain)"
gpt text and language generation bert natural for natural bert transformers transformers in terms of text,doc_277,AI Technology,None,doc_276,gpt text language generation bert natural natural bert transformer transformer term text,Topic_0,"Language & Generation (token, natural)"
healthcare care and analytics prediction care,doc_278,Healthcare Analytics,None,doc_277,healthcare care analytic prediction care,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
storage capacity for energy efficiency technology technology related to,doc_279,Sustainable Energy,None,doc_278,storage capacity energy efficiency technology technology relate,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
machine models in terms of models prediction models classification about computer regression classification machine related to computer classification machine prediction,doc_280,AI Technology,None,doc_279,machine model term model prediction model classification computer regression classification machine relate computer classification machine prediction,Topic_12,"AI & Classification & Prediction (regression, machine)"
transformers text related to models optimization gpt gpt in terms of models bert natural gpt concerning language gpt optimization transformers in terms of,doc_281,AI Technology,Sustainable Energy,doc_280,transformer text relate model optimization gpt gpt term model bert natural gpt concern language gpt optimization transformer term,Topic_0,"Language & Generation (token, natural)"
learning learning and policy environments prediction reinforcement for learning models reinforcement policy for reinforcement agents prediction optimization specifically forecasting,doc_282,AI Technology,Sustainable Energy,doc_281,learn learning policy environment prediction reinforcement learning model reinforcement policy reinforcement agent prediction optimization specifically forecast,Topic_7,"Optimization & Policy (reinforcement, reward)"
prediction prediction regarding care analytics prediction care,doc_283,Healthcare Analytics,None,doc_282,prediction prediction care analytic prediction care,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
analysis correlation concerning visualization data,doc_284,Data Science,None,doc_283,analysis correlation concern visualization datum,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
readmission analytics concerning healthcare diagnosis medical imaging hospital about prediction diagnosis diagnosis medical imaging for medical imaging analytics,doc_285,Healthcare Analytics,AI Technology,doc_284,readmission analytic concern healthcare diagnosis medical imaging hospital prediction diagnosis diagnosis medical imaging medical imaging analytic,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
tokens language in terms of models language forecasting gpt including forecasting natural,doc_286,AI Technology,Sustainable Energy,doc_285,tokens language term model language forecasting gpt include forecast natural,Topic_0,"Language & Generation (token, natural)"
science visualization related to python classification models pandas also classification classification visualization,doc_287,Data Science,AI Technology,doc_286,science visualization relate python classification model panda classification classification visualization,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
batteries capacity concerning innovation efficiency technology,doc_288,Sustainable Energy,None,doc_287,battery capacity concern innovation efficiency technology,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
algorithms patterns also data fraud machine fraud specifically patterns models machine analysis with,doc_289,Financial Technology,Data Science,doc_288,algorithms pattern data fraud machine fraud specifically pattern model machine analysis,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
impact optimization related to monitoring emissions monitoring models about,doc_290,Sustainable Energy,AI Technology,doc_289,impact optimization relate monitor emission monitoring model,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
data science including science numpy visualization numpy related to,doc_291,Data Science,None,doc_290,data science include science numpy visualization numpy relate,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
data analysis visualization also pandas visualization projects data analysis concerning data analysis data visualization visualization in terms of,doc_292,Data Science,Financial Technology,doc_291,datum analysis visualization panda visualization project data analysis concern datum analysis datum visualization visualization term,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
prediction analysis about prediction trading models trading also prediction analysis financial market including algorithmic prediction,doc_293,Financial Technology,None,doc_292,prediction analysis prediction trading model trade prediction analysis financial market include algorithmic prediction,Topic_10,"Financial & Analysis & Prediction (market, financial)"
language natural concerning language text generation tokens,doc_294,AI Technology,None,doc_293,language natural concern language text generation token,Topic_0,"Language & Generation (token, natural)"
analytics readmission including healthcare care prevention prevention related to prediction healthcare hospital readmission concerning analytics care prediction,doc_295,Healthcare Analytics,None,doc_294,analytic readmission include healthcare care prevention prevention relate prediction healthcare hospital readmission concern analytic care prediction,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
science visualization specifically visualization matplotlib data numpy concerning visualization data matplotlib projects in terms of science,doc_296,Data Science,None,doc_295,science visualization specifically visualization matplotlib datum numpy concern visualization datum matplotlib project term science,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
payments fintech specifically technology technology innovation digital including banking technology,doc_297,Financial Technology,None,doc_296,payment fintech specifically technology technology innovation digital include banking technology,Topic_5,"Financial & Fintech & Technology (digital, banking)"
data machine about patterns financial detection learning specifically machine data fraud,doc_298,Financial Technology,None,doc_297,data machine pattern financial detection learn specifically machine datum fraud,Topic_13,"Financial & Fraud & Detection (financial, datum)"
neural algorithms specifically learning deep intelligence networks including training learning algorithms intelligence and artificial learning networks networks,doc_299,AI Technology,None,doc_298,neural algorithm specifically learn deep intelligence network include training learning algorithm intelligence artificial learning network network,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
analysis insights and statistics regression regression data with,doc_300,Data Science,None,doc_299,analysis insight statistic regression regression datum,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
